	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
PSM7J15M	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	338	0	0	6871	0	0	0	2378	41	160
PSM7J15O	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	49	24	0	4093	0	0	0	5195	130	95
PSM7J15Q	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	314	2775	0	2429	0	0	0	3405	443	322
PSM7J15S	0	0	0	2	0	7	0	0	0	0	1	11	1	0	0	614	1759	0	2874	0	0	0	3977	252	123
PSM7J15U	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	48	930	0	3227	0	0	0	5087	110	89
PSM7J16U	0	7	85	187	0	159	101	0	30	0	11	393	326	91	0	0	210	18	254	1	0	7536	24	101	72
PSM7J16W	111	26	242	197	0	54	19	0	54	0	7	409	248	79	0	0	182	93	1167	0	0	6719	62	13	76
PSM7J16Y	1356	198	1200	1198	0	248	53	0	76	0	40	1863	364	793	0	0	247	274	520	0	0	596	7	58	453
PSM7J171	81	27	374	287	0	56	39	0	81	0	13	463	113	153	0	0	126	1220	214	2	0	6463	0	17	75
PSM7J173	274	51	464	477	0	126	67	0	142	0	19	510	554	350	0	0	19	916	282	0	0	5079	128	19	217
